weight,name,tags,path
0,"Margin of error for Vacant-for-rent and Rented, Not Occupied Housing Units",technical|costs and value,data/columns/us/census/acs/B992516/moe/B992516001.json
0,"Margin of error for Imputed in Vacant-for-rent and Rented, Not Occupied Housing Units",technical|costs and value,data/columns/us/census/acs/B992516/moe/B992516002.json
0,"Margin of error for Not imputed in Vacant-for-rent and Rented, Not Occupied Housing Units",technical|costs and value,data/columns/us/census/acs/B992516/moe/B992516003.json
